Calculated Name	ID Prefix	SRP ID	Syriaca.org URI's	Existing VIAF matched & edited	Not found in Syriac VIAF	New Extended Viaf Record Created	VIAF Record Exists?	Extended VIAF URL	Is a work?	Anonymous?	Shares attribution with	Part of pseudonymous author	Extended VIAF ID	Entry Notes/Comments	Follow-up	Log	Disambiguation	Disambiguation URLs	For Post-Publication Review	Record Description	Questions about Comprehensive VIAF URL matching	Not found in Comprehensive VIAF	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	Name split needs checking	Name split checked	GEDSH en-Start Pg	GEDSH en-Raw	GEDSH en-Entry Num	GEDSH en-Full	GEDSH en-Given	GEDSH en-Family	GEDSH en-Titles	Not an author or work	No Barsoum entry	Double Checked that there is no corresponding entry in Barsoum	Date Needs Checking	GEDSH en-DOB	GEDSH en-DOB Standard	GEDSH en-DOB Not Before	GEDSH en-DOB Not After	GEDSH en-DOD	GEDSH en-DOD Standard	GEDSH en-DOD Not Before	GEDSH en-DOD Not After	GEDSH en-Floruit	GEDSH en-Floruit Standard	GEDSH en-Floruit Not Before	GEDSH en-Floruit Not After	GEDSH en-Reign	GEDSH en-Reign Begin	GEDSH en-Reign Begin Standard	GEDSH en-Reign Begin Not Before	GEDSH en-Reign Begin Not After	GEDSH en-Reign End	GEDSH en-Reign End Standard	GEDSH en-Reign End Not Before	GEDSH en-Reign End Not After	GEDSH en-Name Place	GEDSH en-Name Place URI	GEDSH en-Birth Place URI	GEDSH en-Death Place URI	GEDSH en-Other Place URI	Retroversion of Syriac name from GEDSH	GEDSH Entry Entered	Barsoum en-Entry Num	Barsoum en-Page Num	Barsoum en-Raw	Barsoum en-Full	Barsoum en-Given	Barsoum en-Family	Barsoum en-Titles	Barsoum ar-Page Num	Barsoum ar-Full	Barsoum ar-Given	Barsoum ar-Family	Barsoum ar-Titles	Barsoum Ar Entered	Barsoum ar-Notes	Barsoum Birthplace	Barsoum en-DOD	Barsoum en-DOD Standard	Barsoum en-DOD Not Before	Barsoum en-DOD Not After	Barsoum en-Floruit	Barsoum en-Floruit Standard	Barsoum en-Floruit Not Before	Barsoum en-Floruit Not After	Barsoum en-Century	Barsoum en Name Place	Barsoum en Name Place URI	Barsoum en Birthplace URI	Barsoum en Death Place URI	Barsoum en Other Place URI	Barsoum syr-Page Num	Barsoum syr-NV Full	Barsoum syr-NV Given	Barsoum syr-NV Family	Barsoum syr-NV Titles	Barsoum syr-V Full	Barsoum syr-V Given	Barsoum syr-V Family	Barsoum syr-V Titles	Necessary Corrections	Authorized syr-Source	Authorized syr-NV Full	Authorized syr-NV Given	Authorized syr-NV Family	Authorized syr-NV Titles	Authorized syr-Needs Review	Abdisho YdQ syr-NV Full	Abdisho YdQ syr-NV Given	Abdisho YdQ syr-NV Family	Abdisho YdQ syr-NV Titles	Abdisho YdQ syr-V Full	Abdisho YdQ syr-V Given	Abdisho YdQ syr-V Family	Abdisho YdQ syr-V Titles	Abdisho YdQ syr-Page Num	Abdisho BO syr-NV Full	Abdisho BO syr-NV Given	Abdisho BO syr-NV Family	Abdisho BO syr-NV Titles	Abdisho BO syr-V Full	Abdisho BO syr-V Given	Abdisho BO syr-V Family	Abdisho BO syr-V Titles	Abdisho BO syr-Page Num	Syriac Entered	GS en-Full	GS en-Given	GS en-Family	GS en-Titles	Other en-Full	Other en-Given	Other en-Family	Other en-Titles	Extended VIAF Updated	Extended VIAF needs correction	CBSC en-Full	CBSC en-Link	VIAF-Dates Raw	VIAF-DOB	VIAF-DOB Standard	VIAF-DOD	VIAF-DOD Standard	Display Date	Original Sort Order	Merge Row Number
Abū Saʿd of Edessa	SRP	940	http://syriaca.org/person/940		NG		NO							Split from Barsoum "The Physicians of the Twelfth Century" - TAC							http://viaf.org/viaf/241532442	?																																																														215	448	The Physicians of the Twelfth Century	Deacon Abu Sa‘d of Edessa	Abu Sa‘d		Deacon, of Edessa	397	الشماس ابو سعد الرهاوي	ابو سعد		الشماس, الرهاوي	TAC																	428	ܡܫܡܫܢܐ ܐܒܘ ܣܥܕ ܐܘܪܗܝܐ	ܐܒܘ ܣܥܕ		ܡܫܡܫܢܐ، ܐܘܪܗܝܐ	ܡܫܰܡܫܳܢܐ ܐܰܒܳܘ ܣܰܥܕ ܐܘܽܪܗܳܝܐ	ܐܰܒܳܘ ܣܰܥܕ		ܡܫܰܡܫܳܢܐ، ܐܘܽܪܗܳܝܐ	ܐܰܒܳܘ should be ܐܰܒܽܘ - TAC	Other	ܐܒܘ ܣܥܕ ܐܘܪܗܝܐ	ܐܒܘ ܣܥܕ		ܐܘܪܗܝܐ																					Abū Saʿd of Edessa	Abū Saʿd		of Edessa															219	
Sohdo d-Beth Shumone	SRP	941	http://syriaca.org/person/941		NG		NO							Split from Barsoum "The Physicians of the Twelfth Century" - TAC								AV																																																														215	448	The Physicians of the Twelfth Century	Deacon Sahdo of the Shumanna family	Sahdo	of the Shumanna family	Deacon	397	الشماس سهدو آل شومنا	سهدو	آل شومنا	الشماس	TAC																	428	ܡܫܡܫܢܐ ܣܗܕܐ ܕܒܝܬ ܫܘܡܢ̈ܐ	ܣܗܕܐ	ܕܒܝܬ ܫܘܡܢ̈ܐ	ܡܫܡܫܢܐ	ܡܫܰܡܫܳܢܐ ܣܳܗܕܐ ܕܒܶܝܬ ܫܘܽܡܢ̈ܐ	ܣܳܗܕܐ	ܕܒܶܝܬ ܫܘܽܡܢ̈ܐ	ܡܫܰܡܫܳܢܐ		Other	ܣܗܕܐ ܕܒܝܬ ܫܘܡܢ̈ܐ	ܣܗܕܐ	ܕܒܝܬ ܫܘܡܢ̈ܐ																						Sohdo d-Beth Shumone	Sohdo	d-Beth Shumone																220	
Athanasius Denḥa of Edessa	SRP	942	http://syriaca.org/person/942		NG		NO							Split from Barsoum "The Physicians of the Twelfth Century" - TAC								AV																																																														215	448	The Physicians of the Twelfth Century	Athanasius Denḥa, metropolitan of Edessa	Athanasius Denḥa		metropolitan of Edessa	397	اثناسيوس دنحا مطران الرها	اثناسيوس دنحا		مطران الرها	TAC			1191	1191													428	ܐܬܢܐܣܝܘܣ ܕܢܚܐ ܡܝܛܪܘܦܘܠܝܛܐ ܕܐܘܪܗܝ	ܐܬܢܐܣܝܘܣ ܕܢܚܐ		ܡܝܛܪܘܦܘܠܝܛܐ ܕܐܘܪܗܝ	ܐܬܢܐܣܝܘܣ ܕܢܚܐ ܡܝܛܪܘܦܘܠܝܛܐ ܕܐܘܪܗܝ	ܐܰܬܰܢܰܐܣܝܘܣ ܕܶܢܚܳܐ		ܡܝܺܛܪܘܦܘܠܝܛܐ ܕܐܽܘܪܗܳܝ		Other	ܐܬܢܐܣܝܘܣ ܕܢܚܐ ܕܐܘܪܗܝ	ܐܬܢܐܣܝܘܣ ܕܢܚܐ		ܕܐܘܪܗܝ																					Athanasius Denḥa of Edessa	Athanasius Denḥa		of Edessa														1191	221	
Yuḥanon Dawid of Amid	SRP	219	http://syriaca.org/person/219		JW	JW	YES	http://viaf.org/hosted/syriac/37648					37648																																																																							216	448	Bishop John David of Amid	Bishop John David of Amid	John David		Bishop, of Amid	398	الاسقف يوحنا داود الآمدي	يوحنا داود		الاسقف , الآمدي	JK			1203	1203													428	ܐܦܝܣܩܘܦܐ ܝܘܚܢܢ ܕܘܝܕ ܐܡܝܕܝܐ	ܝܘܚܢܢ ܕܘܝܕ		ܐܦܝܣܩܘܦܐ ܐܡܝܕܝܐ	ܐܶܦܝܣܩܘܦܐ ܝܘܚܰܢܢ ܕܰܘܝܕ ܐܳܡܝܕܳܝܐ	ܝܘܚܰܢܢ ܕܰܘܝܕ		ܐܶܦܝܣܩܘܦܐ ܐܳܡܝܕܳܝܐ		Other	ܝܘܚܢܢ ܕܘܝܕ ܐܡܝܕܝܐ	ܝܘܚܢܢ ܕܘܝܕ		ܐܡܝܕܝܐ																					Yuḥanon Dawid of Amid	Yuḥanon Dawid		of Amid						Add CE-CH to Viaf - TAC 2/25/13			00.00.00-1203.00.00				1203	1203	222	194
Ignatius Sohdo of Jerusalem	SRP	220	http://syriaca.org/person/220		JW	JW	YES	http://viaf.org/hosted/syriac/37659					37659																																																																							217	449	Ignatius Sahdo, metropolitan of Jerusalem	Ignatius Sahdo, metropolitan of Jerusalem	Ignatius Sahdo		Metropolitan of Jerusalem	398	اغناطيوس سهدو مطران اورشليم	اغناطيوس سهدو		مطران اورشليم	JK																	429	ܐܝܓܢܐܛܝܘܣ ܣܗܕܐ ܡܝܛܪܘܦܘܠܝܛܐ ܕܐܘܪܫܠܡ	ܐܝܓܢܐܛܝܘܣ ܣܗܕܐ		ܡܝܛܪܘܦܘܠܝܛܐ ܕܐܘܪܫܠܡ	ܐܝܓܢܰܐܛܝܘܣ ܣܳܗܕܳܐ ܡܝܛܪܘܦܘܠܝܛܐ ܕܐܘܪܫܠܶܡ	ܐܝܓܢܰܐܛܝܘܣ ܣܳܗܕܳܐ		ܡܝܛܪܘܦܘܠܝܛܐ ܕܐܘܪܫܠܶܡ		Other	ܐܝܓܢܐܛܝܘܣ ܣܗܕܐ ܕܐܘܪܫܠܡ	ܐܝܓܢܐܛܝܘܣ ܣܗܕܐ		ܕܐܘܪܫܠܡ																					Ignatius Sohdo of Jerusalem	Ignatius Sohdo		of Jerusalem						Add CE-CH to Viaf - TAC 2/25/13									223	195
Abrohom of Tel Besme	SRP	221	http://syriaca.org/person/221		JW	JW	YES	http://viaf.org/hosted/syriac/37660					37660	 Comments: Is the Seyame on Talbsam necessary? In HTML, it breaks the continuous lettering for some reason		discuss?																																																																				218	449	Abraham, bishop of Tālbsam	Abraham, bishop of Tālbsam	Abraham		Bishop of Tālbsam	399	ابرهيم اسقف تلبسم	ابرهيم		اسقف تلبسم	JK	spelling mistak in the name compare to p.291 and check in syriac		c. 1207		1208												430	ܐܒܪܗܡ ܐܦܝܣܩܘܦܐ ܕܬܠܒܣ̈ܡܐ	ܐܒܪܗܡ		ܐܦܝܣܩܘܦܐ ܕܬܠܒܣ̈ܡܐ	ܐܰܒܪܳܗܡ ܐܶܦܝܣܩܘܦܳܐ ܕܬܶܠܒܶܣ̈ܡܐ	ܐܰܒܪܳܗܡ		ܐܶܦܝܣܩܘܦܳܐ ܕܬܶܠܒܶܣ̈ܡܐ		Other	ܐܒܪܗܡ ܕܬܠܒܣ̈ܡܐ	ܐܒܪܗܡ		ܕܬܠܒܣ̈ܡܐ																					Abrohom of Tel Besme	Abrohom		of Tel Besme	Abraham of Tel Besme	Abraham		of Tel Besme		Add CE-CH to Viaf - TAC 2/25/13			00.00.00-1207.00.00				1207	c. 1207	224	196
Grigorios Yaʿqub	SRP	222	http://syriaca.org/person/222		JW	JW	YES	http://viaf.org/hosted/syriac/37671					37671																																																																							219	450	Gregorius Jacob, Maphryono of the East	Gregorius Jacob, Maphryono of the East	Gregorius Jacob		Maphryono of the East	399	غريغوريوس يعقوب مفريان المشرق	غريغوريوس يعقوب		مفريان المشرق	JK	spelling mistake in excel. got rid of "yeh" at the of al-sharki...kept it as Barsoum has it. - JK		1214	1214													430	ܓܪܝܓܘܪܝܘܣ ܝܥܩܘܒ ܡܦܪܝܢܐ ܕܡܕܢܚܐ	ܓܪܝܓܘܪܝܘܣ ܝܥܩܘܒ		ܡܦܪܝܢܐ ܕܡܕܢܚܐ	ܓܪܺܝܓܘܪܝܘܣ ܝܰܥܩܘܒ ܡܰܦܪܝܳܢܐ ܕܡܰܕܢܚܐ	ܓܪܺܝܓܘܪܝܘܣ ܝܰܥܩܘܒ		ܡܰܦܪܝܳܢܐ ܕܡܰܕܢܚܐ		Other	ܓܪܝܓܘܪܝܘܣ ܝܥܩܘܒ	ܓܪܝܓܘܪܝܘܣ ܝܥܩܘܒ																							Grigorios Yaʿqub	Grigorios Yaʿqub								Add CE-CH to Viaf - TAC 2/25/13			00.00.00-1214.00.00				1214	1214	225	197
Yuḥanon XII (XI, XIII, or XIV) Yeshuʿ Kotubo	SRP	224	http://syriaca.org/person/224		JW	JW	YES	http://viaf.org/hosted/syriac/37693					37693																																																																							221	451	Patriarch John XII	Patriarch John XII	John		Patriarch, XII	400	البطريرك يوحنا الثاني عشر	يوحنا		البطريرك , الثاني عشر	JK			1220	1220													431	ܦܛܪܝܪܟܐ ܝܘܚܢܢ ܕܬܪܥܣܪ	ܝܘܚܢܢ		ܦܛܪܝܪܟܐ ܕܬܪܥܣܪ	ܦܰܛܪܝܰܪܟܐ ܝܘܚܰܢܢ ܕܰܬܪܶܥܣܪ	ܝܘܚܰܢܢ		ܦܰܛܪܝܰܪܟܐ ܕܰܬܪܶܥܣܪ		Other	ܝܘܚܢܢ ܕܬܪܥܣܪ	ܝܘܚܢܢ		ܕܬܪܥܣܪ																					Yuḥanon XII (XI, XIII, or XIV) Yeshuʿ Kotubo	Yuḥanon Yeshuʿ		XII (XI, XIII, or XIV) Kotubo						Add CE-CH to Viaf [sic GEDSH p.487] - TAC 2/25/13			00.00.00-1220.00.00				1220	1220	227	199
Yuḥanon of Tbilisi	SRP	225	http://syriaca.org/person/225		JW	JW	YES	http://viaf.org/hosted/syriac/37707					37707																																																																							222	452	John of Tiflis	John of Tiflis	John		of Tiflis	402	يوحنا التفليسي	يوحنا		التفليسي	JK			1221	1221													432	ܝܘܚܢܢ ܬܦܠܝܣܝܐ	ܝܘܚܢܢ		ܬܦܠܝܣܝܐ	ܝܘܚܰܢܢ ܬܶܦܠܝܣܳܝܐ	ܝܘܚܰܢܢ		ܬܶܦܠܝܣܳܝܐ		Barsoum																									Yuḥanon of Tbilisi	Yuḥanon		of Tbilisi	John of Tbilisi	John		of Tbilisi		Add CE-CH to Viaf - TAC 2/25/13			00.00.00-1221.00.00				1221	1221	228	200
Ḥasnon of Edessa	SRP	226	http://syriaca.org/person/226		JW	JW	YES	http://viaf.org/hosted/syriac/37718					37718																																																																							223	453	Ḥasnun of Edessa	Ḥasnun of Edessa	Ḥasnun		of Edessa	402	حسنون الرهاوي	حسنون		الرهاوي	JK			1227	1227													433	ܚܣܢܘܢ ܐܘܪܗܝܐ	ܚܣܢܘܢ		ܐܘܪܗܝܐ	ܚܰܣܢܘܢ ܐܘܪܗܳܝܐ	ܚܰܣܢܘܢ		ܐܘܪܗܳܝܐ		Barsoum																									Ḥasnon of Edessa	Ḥasnon		of Edessa						Add CE-CH to Viaf - TAC 2/25/13			00.00.00-1227.00.00				1227	1227	229	201
	SRP	227	http://syriaca.org/person/227		JW	JW	YES	http://viaf.org/hosted/syriac/37729					37729																																																																							224	453	Gabriel of Edessa	Gabriel of Edessa	Gabriel		of Edessa	402	جبرائيل الرهاوي	جبرائيل		الرهاوي	JK			1227	1227													433	ܓܒܪܐܝܠ ܐܘܪܗܝܐ	ܓܒܪܐܝܠ		ܐܘܪܗܝܐ	ܓܰܒܪܐܝܠ ܐܘܪܗܳܝܳܐ	ܓܰܒܪܐܝܠ		ܐܘܪܗܳܝܳܐ		Barsoum																																					00.00.00-1227.00.00				1227	1227	230	202
Theodoros of Antioch	SRP	228	http://syriaca.org/person/228	JW		JW	YES	http://viaf.org/hosted/syriac/36326					36326										http://viaf.org/viaf/25337719																																																													225	453	Theodore of Antioch, the Philosopher	Theodore of Antioch, the Philosopher	Theodore		of Antioch, the Philosopher	403	ثاوذوري الانطاكي الفيلسوف	ثاوذوري		الانطاكي , الفيلسوف	JK	Corrected Arabic misspelling in Theodore - JK		1235-1240		1235	1240											433	ܦܝܠܣܘܦܐ ܬܐܘܕܘܪܝ ܐܢܛܝܘܟܝܐ	ܬܐܘܕܘܪܝ		ܦܝܠܣܘܦܐ ܐܢܛܝܘܟܝܐ	ܦܝܠܳܣܘܦܐ ܬܶܐܘܕܘܪܝ ܐܰܢܛܝܘܟܳܝܐ	ܬܶܐܘܕܘܪܝ		ܦܝܠܳܣܘܦܐ ܐܰܢܛܝܘܟܳܝܐ		Other	ܬܐܘܕܘܪܝ ܐܢܛܝܘܟܝܐ	ܬܐܘܕܘܪܝ		ܐܢܛܝܘܟܝܐ																					Theodoros of Antioch	Theodoros		of Antioch	Theodore of Antioch	Theodore		of Antioch		Add CE-CH to Viaf - TAC 2/25/13	Theodore of Antioch	http://www.csc.org.il/db/browse.aspx?db=SB&sL=T&sK=Theodore of Antioch&sT=keywords	00.00.00-1250.00.00				1250	1235-1240	231	37
Yaʿqub bar Tashkako	SRP	229	http://syriaca.org/person/229		JW	JW	YES	http://viaf.org/hosted/syriac/37730					37730	 Barsoum: Different person from Jacob Bar Shakko (see SRP 231 below) Not confident on GEDSH-style - TAC		discuss GEDSH-style	Not the same as Yaʿqub bar Shakko (http://syriaca.org/person/231)	http://syriaca.org/person/231																																																																		226	454	Metropolitan Jacob Bar Shakkoko	Metropolitan Jacob Bar Shakkoko	Jacob	Bar Shakkoko	Metropolitan	403	المطران يعقوب ابن تشككو	يعقوب	ابن تشككو	المطران	JK			1231	1231													434	ܡܝܛܪܘܦܘܠܝܛܐ ܝܥܩܘܒ ܒܪ ܬܫܟܟܐ	ܝܥܩܘܒ	ܒܪ ܬܫܟܟܐ	ܡܝܛܪܘܦܘܠܝܛܐ ܡܟܬܒܢܐ ܐܘܪܗܝܐ	ܡܝܛܪܘܦܘܠܝܛܳܐ ܝܰܥܩܘܒ ܒܰܪ ܬܫܟܟܳܐ	ܝܰܥܩܘܒ	ܒܰܪ ܬܫܟܟܳܐ	ܡܝܛܪܘܦܘܠܝܛܳܐ ܡܰܟܬܒܳܢܐ ܐܘܪܗܳܝܐ		Other	ܝܥܩܘܒ ܒܪ ܬܫܟܟܐ	ܝܥܩܘܒ	ܒܪ ܬܫܟܟܐ																						Yaʿqub bar Tashkako	Yaʿqub	bar Tashkako		Jacob bar Tashkako	Jacob	bar Tashkako			Add CE-CH to Viaf - TAC 2/25/13			00.00.00-1231.00.00				1231	1231	232	203
Author of the Chronicle of 1234	SRP	230	http://syriaca.org/person/230		JW		NO		NG	NG				 Barsoum: How to do this one?								?																								131. Chronicle of 1234	131						JW																															227	454	The Edessene Chronicler	The Edessene Chronicler			The Edessene Chronicler	403	المؤرخ الرهاوي			المؤرخ الرهاوي	--------							1234	1234									434	ܡܟܬܒܢܐ ܐܘܪܗܝܐ 			ܡܟܬܒܢܐ ܐܘܪܗܝܐ 	ܡܰܟܬܒܳܢܐ ܐܘܪܗܳܝܳܐ 			ܡܰܟܬܒܳܢܐ ܐܘܪܗܳܝܳܐ 							Anonymous Author																				Author of the Chronicle of 1234			Author of the Chronicle of 1234														1234	233	
Yeshuʿ of Ḥeṣno d-Kifo	SRP	232	http://syriaca.org/person/232		JW	JW	YES	http://viaf.org/hosted/syriac/37741					37741																																																																							229	458	The Priest Yeshu‛ Thomas of Ḥiṣn Kifa	The Priest Yeshu‛ Thomas of Ḥiṣn Kifa	Yeshu‛	Thomas	the Priest, of Ḥiṣn Kifa	407	القس يشوع آل توما الحصكفي	يشوع	آل توما	القس , الحصكفي	JK			shortly before 1252			1252	1248	1248									438	ܩܫܝܫܐ ܝܫܘܥ ܕܒܝܬ ܬܐܘܡܐ ܚܣܢ ܟܐܦܝܐ	ܝܫܘܥ	ܕܒܝܬ ܬܐܘܡܐ	ܩܫܝܫܐ ܚܣܢ ܟܐܦܝܐ	ܩܰܫܝܫܳܐ ܝܶܫܘܥ ܕܒܶܝܬ ܬܐܘܡܐ ܚܰܣܢ ܟܺܐܦܳܝܐ	ܝܶܫܘܥ	ܕܒܶܝܬ ܬܐܘܡܐ	ܩܰܫܝܫܳܐ ܚܰܣܢ ܟܺܐܦܳܝܐ		Other	ܝܫܘܥ ܚܣܢ ܟܐܦܝܐ	ܝܫܘܥ		ܚܣܢ ܟܐܦܝܐ																					Yeshuʿ of Ḥeṣno d-Kifo	Yeshuʿ		of Ḥeṣno d-Kifo	Joshua of Ḥeṣno d-Kifo	Joshua		of Ḥeṣno d-Kifo		Add CE-CH to Viaf - TAC 2/26/13			00.00.00-1252.00.00				1252	shortly before 1252	235	204
Gregorios Yuḥanon of Mor Matay	SRP	233	http://syriaca.org/person/233		JW	JW	YES	http://viaf.org/hosted/syriac/37752					37752																																																																							230	459	Gregorius John, bishop of St. Matthew’s Monastery	Gregorius John, bishop of St. Matthew’s Monastery	Gregorius John		Bishop of St. Matthew’s Monastery	408	 غريغوريوس يوحنا مطران دير مار متى و اذربيجان	غريغوريوس يوحنا		مطران دير مار متى و اذربيجان	JK	an extr AR adjective missing in EN; had to replace the "zain" in the Arabic with "thal" as Barsoum has it - JK																438	ܓܪܝܓܘܪܝܘܣ ܝܘܚܢܢ ܡܝܛܪܘܦܘܠܝܛܐ ܕܕܪܝܪܐ ܕܡܪܝ ܡܬܝ ܘܕܐܕܘܪܒܝܓܐܢ	ܓܪܝܓܘܪܝܘܣ ܝܘܚܢܢ		ܡܝܛܪܘܦܘܠܝܛܐ ܕܕܪܝܪܐ ܕܡܪܝ ܡܬܝ ܘܕܐܕܘܪܒܝܓܐܢ	ܓܪܺܝܓܘܪܝܘܣ ܝܘܚܰܢܢ ܡܝܺܛܪܘܦܘܠܝܛܳܐ ܕܕܰܪܝܪܳܐ ܕܡܳܪܝ ܡܰܬܝ ܘܕܐܰܕܘܪܒܰܝܓܰܐܢ	ܓܪܺܝܓܘܪܝܘܣ ܝܘܚܰܢܢ		ܡܝܺܛܪܘܦܘܠܝܛܳܐ ܕܕܰܪܝܪܳܐ ܕܡܳܪܝ ܡܰܬܝ ܘܕܐܰܕܘܪܒܰܝܓܰܐܢ		Other	ܓܪܝܓܘܪܝܘܣ ܝܘܚܢܢ ܕܡܪܝ ܡܬܝ	ܓܪܝܓܘܪܝܘܣ ܝܘܚܢܢ		ܕܡܪܝ ܡܬܝ																					Gregorios Yuḥanon of Mor Matay	Gregorios Yuḥanon		of Mor Matay						Add CE-CH to Viaf - TAC 2/26/13									236	205
Baselios of Beth Sbirino	SRP	234	http://syriaca.org/person/234		JW	JW	YES	http://viaf.org/hosted/syriac/37763					37763	 Comments: Check the Syriac text	TOC ܒܰܣܝܠܝܘܣ ܣܒܝܺܪܝܢܳܝܳܐ vs. entry ܒܐܣܝܠܝܘܣ ܣܒܝܪܝܢܝܐ - TAC																																																																					231	459	Basilius of Basibrina	Basilius of Basibrina	Basilius		of Basibrina	408	باسيليوس السبيريني	باسيليوس		السبيريني	JK							1254	1254									439	ܒܣܝܠܝܘܣ ܣܒܝܪܝܢܝܐ	ܒܣܝܠܝܘܣ		ܣܒܝܪܝܢܝܐ	ܒܰܣܝܠܝܘܣ ܣܒܝܺܪܝܢܳܝܳܐ	ܒܰܣܝܠܝܘܣ		ܣܒܝܺܪܝܢܳܝܳܐ		Barsoum																									Baselios of Beth Sbirino	Baselios		of Beth Sbirino	Basil of Beth Sbirino	Basil		of Beth Sbirino		Add CE-CH to Viaf - TAC 2/26/13								1254	237	206
Ṣlibo of Edessa	SRP	235	http://syriaca.org/person/235		JW	JW	YES	http://viaf.org/hosted/syriac/37774					37774																																																																							232	460	Maphryono Ṣaliba the Edessene	Maphryono Ṣaliba the Edessene	Ṣaliba		Maphryono, the Edessene	408	المفريان صليبا الرهاوي	صليبا		المفريان , الرهاوي	JK			1258	1258													439	ܡܦܪܝܢܐ ܨܠܝܒܐ ܐܘܪܗܝܐ	ܨܠܝܒܐ		ܡܦܪܝܢܐ ܐܘܪܗܝܐ	ܡܰܦܪܝܳܢܐ ܨܰܠܝܒܐ ܐܘܪܗܳܝܳܐ	ܨܰܠܝܒܐ		ܡܰܦܪܝܳܢܐ ܐܘܪܗܳܝܳܐ		Other	ܨܠܝܒܐ ܐܘܪܗܝܐ	ܨܠܝܒܐ		ܐܘܪܗܝܐ																					Ṣlibo of Edessa	Ṣlibo		of Edessa						Add CE-CH to Viaf - TAC 2/26/13			00.00.00-1258.00.00				1258	1258	238	207
Dionysios Ṣlibo of Claudia	SRP	237	http://syriaca.org/person/237		JW	JW	YES	http://viaf.org/hosted/syriac/37796					37796																																																																							*	462	Dionysius Ṣalība, bishop of Claudia	Dionysius Ṣalība, bishop of Claudia	Dionysius Ṣalība		Bishop of Claudia		ديونيسيوس صليبا اسقف قلوذية	ديونيسيوس صليبا		اسقف قلوذية	JK			1273	1273													441-442	ܕܝܘܢܢܘܣܝܘܣ ܨܠܝܒܐ ܐܦܝܣܩܘܦܐ ܕܩܠܘܕܝܐ	ܕܝܘܢܢܘܣܝܘܣ ܨܠܝܒܐ		ܐܦܝܣܩܘܦܐ ܕܩܠܘܕܝܐ	ܕܝܺܘܢܢܘܣܝܘܣ ܨܰܠܝܒܐ ܐܶܦܝܣܩܘܦܳܐ ܕܰܩܠܘܕܺܝܰܐ	ܕܝܺܘܢܢܘܣܝܘܣ ܨܰܠܝܒܐ		ܐܶܦܝܣܩܘܦܳܐ ܕܰܩܠܘܕܺܝܰܐ		Other	ܕܝܘܢܢܘܣܝܘܣ ܨܠܝܒܐ ܕܩܠܘܕܝܐ	ܕܝܘܢܢܘܣܝܘܣ ܨܠܝܒܐ		ܕܩܠܘܕܝܐ																					Dionysios Ṣlibo of Claudia	Dionysios Ṣlibo		of Claudia						Add CE-CH to Viaf - TAC 2/26/13	Dionysius of Claudia	http://www.csc.org.il/db/browse.aspx?db=SB&sL=D&sK=Dionysius of Claudia&sT=keywords	00.00.00-1273.00.00				1273	1273	240	209
Diosqoros Theodoros of Ḥiṣn Ziyād	SRP	238	http://syriaca.org/person/238		JW	JW	YES	http://viaf.org/hosted/syriac/37800					37800																																																																							234	462	Dioscorus Theodorus, metropolitan of Ḥiṣn Ziyad	Dioscorus Theodorus, metropolitan of Ḥiṣn Ziyad	Dioscorus Theodorus		Metropolitan of Ḥiṣn Ziyad	411	ديوسقورس ثاودورس مطران حصن زياد	ديوسقورس ثاودورس		مطران حصن زياد	JK							1275	1275									443-442	ܕܝܘܣܩܘܪܘܣ ܬܐܘܕܘܪܘܣ ܡܝܛܪܘܦܘܠܝܛܐ ܕܚܣܢ ܙܝܐܕ	ܕܝܘܣܩܘܪܘܣ ܬܐܘܕܘܪܘܣ		ܡܝܛܪܘܦܘܠܝܛܐ ܕܚܣܢ ܙܝܐܕ	ܕܺܝܘܣܩܘܪܘܣ ܬܶܐܘܕܳܘܪܘܣ ܡܝܛܪܘܦܘܠܝܛܐ ܕܚܰܣܢ ܙܝܐܕ	ܕܺܝܘܣܩܘܪܘܣ ܬܶܐܘܕܳܘܪܘܣ		ܡܝܛܪܘܦܘܠܝܛܐ ܕܚܰܣܢ ܙܝܐܕ		Other	ܕܝܘܣܩܘܪܘܣ ܬܐܘܕܘܪܘܣ ܕܚܣܢ ܙܝܐܕ	ܕܝܘܣܩܘܪܘܣ ܬܐܘܕܘܪܘܣ		ܕܚܣܢ ܙܝܐܕ																					Diosqoros Theodoros of Ḥiṣn Ziyād	Diosqoros Theodoros		of Ḥiṣn Ziyād						Add CE-CH to Viaf - TAC 2/26/13			00.00.00-1275.00.00				1275	1275	241	210
Abū Naṣr of Barṭelle	SRP	241	http://syriaca.org/person/241		JW	JW	YES	http://viaf.org/hosted/syriac/37811					37811																																																																							236	484	Abu Naṣr of Barṭelli	Abu Naṣr of Barṭelli	Abu Naṣr		of Barṭelli	433	ابو نصر البرطلي	ابو نصر		البرطلي	JK							1290	1290									465	ܐܒܘ ܢܨܪ ܒܪܛܠܝܐ	ܐܒܘ ܢܨܪ		ܒܪܛܠܝܐ	ܐܰܒܘ ܢܰܨܪ ܒܰܪܛܰܠܝܐ	ܐܰܒܘ ܢܰܨܪ		ܒܰܪܛܰܠܝܐ		Barsoum																									Abū Naṣr of Barṭelle	Abū Naṣr		of Barṭelle						Add CE-CH to Viaf - TAC 2/26/13			00.00.00-1290.00.00				1290	1290	244	211
